Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,18.3,16.9-19.8,8251,0
National Estimates,National,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,87.9,86.5-89.1,7876,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,37.9,34.2-41.9,796,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,80.3,76.9-83.4,762,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,75.7,72.1-78.9,790,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,35.2,31.6-39.0,790,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,90,87.6-92.1,797,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,21,16.0-27.0,262,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,18.6,13.6-24.8,215,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,24,18.7-30.3,251,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,20.4,15.6-26.1,262,0
Jurisdictional Estimates,Alaska,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,84.9,79.4-89.1,257,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,,,,1
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,,,,1
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,,,,1
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,,,,1
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,,,,1
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,32.7,22.2-45.3,74,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,27.2,16.6-41.1,55,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,32.2,21.6-45.1,71,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,7.6,3.6-15.1,73,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,82.8,71.1-90.4,71,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,9.3,5.2-15.9,155,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,5.5,2.7-11.0,132,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,11.7,7.1-18.8,147,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,22.6,16.2-30.6,156,0
Jurisdictional Estimates,Alaska,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,86.7,79.6-91.6,154,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,33.5,29.1-38.1,698,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,79.9,75.6-83.7,671,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,67.3,62.4-71.9,694,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,39.7,35.0-44.5,698,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,84.2,80.5-87.2,698,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,28.9,23.9-34.5,389,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,17.8,13.4-23.2,306,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,21.8,17.4-26.9,377,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,20.8,16.6-25.7,390,0
Jurisdictional Estimates,Alabama,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,84.8,79.9-88.7,369,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,55.2,39.1-70.2,53,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,70.5,53.2-83.4,45,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,56.1,40.2-70.8,52,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,38,23.8-54.5,52,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,75.4,60.6-86.0,53,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,43.1,33.7-53.0,139,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,20.8,13.0-31.6,98,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,24.3,16.9-33.7,132,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,21.4,14.9-29.8,140,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,80.1,70.8-87.0,132,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,13,8.6-19.3,195,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,5.5,2.7-10.9,162,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,12,7.9-18.0,191,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,17.3,12.0-24.3,195,0
Jurisdictional Estimates,Alabama,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,90.9,84.4-94.8,183,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,39.3,35.3-43.5,921,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,78,74.2-81.3,890,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,68.8,64.6-72.7,906,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,46,41.8-50.2,921,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,84.6,81.1-87.5,927,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,30.5,25.8-35.6,493,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,23.1,18.6-28.4,401,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,25.9,21.5-30.9,471,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,22.1,18.0-26.8,494,0
Jurisdictional Estimates,Arkansas,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,82.1,77.3-86.0,470,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,63.7,49.9-75.5,72,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,75.9,62.4-85.7,69,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,54.5,40.5-67.8,69,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,31.8,20.7-45.4,72,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,64.4,49.6-76.8,72,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,35.6,27.3-44.9,166,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,22.1,14.5-32.1,124,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,32.7,24.7-41.9,158,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,19.4,12.9-28.1,167,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,80.4,71.6-86.9,162,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,18.2,13.1-24.6,258,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,8.5,4.7-15.0,209,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,13.8,9.3-19.9,245,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,20.2,15.0-26.5,257,0
Jurisdictional Estimates,Arkansas,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,87.9,82.1-92.1,237,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,41.2,37.4-45.1,951,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,83.8,80.4-86.7,911,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,78.2,74.6-81.4,938,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,34.7,31.0-38.7,944,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,73.2,69.6-76.5,952,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,26.4,21.5-32.0,383,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,23.3,18.3-29.3,306,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,29,24.0-34.5,375,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,19.9,15.7-25.0,382,0
Jurisdictional Estimates,Arizona,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,84.2,79.3-88.2,364,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,42.7,29.1-57.5,62,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,68.4,52.9-80.6,56,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,45.9,31.7-60.9,60,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,27.9,17.2-41.9,62,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,76.2,61.3-86.6,61,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,32.4,24.0-42.2,137,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,22.5,14.3-33.7,96,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,37.9,29.0-47.7,135,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,Apr 22 – May 29,Monthly,24.6,17.2-34.0,137,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,Apr 22 – May 29,Monthly,86.5,78.4-91.9,130,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,Apr 22 – May 29,Monthly,14.7,9.5-22.1,184,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,Apr 22 – May 29,Monthly,7.2,4.0-12.5,155,0
Jurisdictional Estimates,Arizona,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,Apr 22 – May 29,Monthly,15.6,10.8-22.0,181,0
