Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
Jurisdictional Estimates,Colorado,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,18,13.9-23.2,709,0
Jurisdictional Estimates,Connecticut,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,73.2,68.6-77.3,911,0
Jurisdictional Estimates,Connecticut,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.1,4.9-10.1,911,0
Jurisdictional Estimates,Connecticut,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,8.8,6.4-12.0,911,0
Jurisdictional Estimates,Connecticut,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,10.9,8.0-14.7,911,0
Jurisdictional Estimates,District of Columbia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,67,63.7-70.1,1942,0
Jurisdictional Estimates,District of Columbia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,9.3,7.3-11.7,1942,0
Jurisdictional Estimates,District of Columbia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,14,11.6-16.8,1942,0
Jurisdictional Estimates,District of Columbia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,9.7,7.7-12.2,1942,0
Jurisdictional Estimates,Delaware,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,64.1,61.0-67.1,1470,0
Jurisdictional Estimates,Delaware,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.8,6.1-9.9,1470,0
Jurisdictional Estimates,Delaware,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,13.2,11.0-15.7,1470,0
Jurisdictional Estimates,Delaware,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,14.9,12.7-17.5,1470,0
Jurisdictional Estimates,Florida,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,57.6,53.8-61.3,1725,0
Jurisdictional Estimates,Florida,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6.4,4.8-8.7,1725,0
Jurisdictional Estimates,Florida,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,17,14.1-20.3,1725,0
Jurisdictional Estimates,Florida,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,19,16.0-22.3,1725,0
Jurisdictional Estimates,Georgia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,48.8,44.2-53.3,921,0
Jurisdictional Estimates,Georgia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,10.1,7.3-13.7,921,0
Jurisdictional Estimates,Georgia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,18.1,14.4-22.4,921,0
Jurisdictional Estimates,Georgia,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,23.1,19.1-27.6,921,0
Jurisdictional Estimates,Hawaii,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,77,74.2-79.5,1597,0
Jurisdictional Estimates,Hawaii,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,5.2,3.9-6.9,1597,0
Jurisdictional Estimates,Hawaii,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,11.1,9.2-13.3,1597,0
Jurisdictional Estimates,Hawaii,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,6.7,5.3-8.5,1597,0
Jurisdictional Estimates,Iowa,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,58.4,54.3-62.3,951,0
Jurisdictional Estimates,Iowa,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6,4.1-8.6,951,0
Jurisdictional Estimates,Iowa,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,12.5,9.8-15.8,951,0
Jurisdictional Estimates,Iowa,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,23.1,19.6-27.1,951,0
Jurisdictional Estimates,Idaho,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,48.3,44.9-51.7,1185,0
Jurisdictional Estimates,Idaho,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.2,5.4-9.6,1185,0
Jurisdictional Estimates,Idaho,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,18.6,15.8-21.8,1185,0
Jurisdictional Estimates,Idaho,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,25.9,22.8-29.2,1185,0
Jurisdictional Estimates,Illinois,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,65.1,62.5-67.6,2548,0
Jurisdictional Estimates,Illinois,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6.7,5.4-8.2,2548,0
Jurisdictional Estimates,Illinois,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,14.3,12.4-16.4,2548,0
Jurisdictional Estimates,Illinois,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,14,12.1-16.1,2548,0
Jurisdictional Estimates,Indiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,52,48.8-55.2,1495,0
Jurisdictional Estimates,Indiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.4,5.8-9.5,1495,0
Jurisdictional Estimates,Indiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,16.8,14.3-19.6,1495,0
Jurisdictional Estimates,Indiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,23.8,20.9-26.9,1495,0
Jurisdictional Estimates,Kansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,58.7,54.8-62.4,1029,0
Jurisdictional Estimates,Kansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6.6,4.7-9.1,1029,0
Jurisdictional Estimates,Kansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,13.9,11.3-16.9,1029,0
Jurisdictional Estimates,Kansas,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,20.8,17.7-24.3,1029,0
Jurisdictional Estimates,Kentucky,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,56.3,53.1-59.4,1467,0
Jurisdictional Estimates,Kentucky,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6.5,5.0-8.5,1467,0
Jurisdictional Estimates,Kentucky,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,14.8,12.5-17.4,1467,0
Jurisdictional Estimates,Kentucky,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,22.5,19.8-25.4,1467,0
Jurisdictional Estimates,Louisiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,45.3,42.1-48.6,1495,0
Jurisdictional Estimates,Louisiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,8.2,6.4-10.5,1495,0
Jurisdictional Estimates,Louisiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,21.3,18.4-24.5,1495,0
Jurisdictional Estimates,Louisiana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,25.3,22.2-28.6,1495,0
Jurisdictional Estimates,Massachusetts,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,75.8,72.3-78.9,1539,0
Jurisdictional Estimates,Massachusetts,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.7,5.8-10.2,1539,0
Jurisdictional Estimates,Massachusetts,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,8.2,6.3-10.6,1539,0
Jurisdictional Estimates,Massachusetts,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,8.3,6.4-10.8,1539,0
Jurisdictional Estimates,Maryland,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,67.7,64.2-70.9,1966,0
Jurisdictional Estimates,Maryland,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,8.5,6.6-10.9,1966,0
Jurisdictional Estimates,Maryland,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,13.9,11.5-16.7,1966,0
Jurisdictional Estimates,Maryland,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,9.9,7.9-12.4,1966,0
Jurisdictional Estimates,Maine,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,71.8,68.5-74.8,1343,0
Jurisdictional Estimates,Maine,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,4,2.9-5.6,1343,0
Jurisdictional Estimates,Maine,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,10.5,8.4-13.0,1343,0
Jurisdictional Estimates,Maine,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,13.7,11.4-16.4,1343,0
Jurisdictional Estimates,Michigan,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,58.2,53.7-62.6,870,0
Jurisdictional Estimates,Michigan,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,8.2,5.8-11.4,870,0
Jurisdictional Estimates,Michigan,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,15.6,12.3-19.6,870,0
Jurisdictional Estimates,Michigan,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,18,14.7-21.8,870,0
Jurisdictional Estimates,Minnesota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,64.4,59.2-69.2,772,0
Jurisdictional Estimates,Minnesota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6,3.8-9.3,772,0
Jurisdictional Estimates,Minnesota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,14,10.5-18.5,772,0
Jurisdictional Estimates,Minnesota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,15.6,12.0-20.1,772,0
Jurisdictional Estimates,Missouri,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,51.6,47.0-56.2,870,0
Jurisdictional Estimates,Missouri,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6.5,4.3-9.5,870,0
Jurisdictional Estimates,Missouri,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,16.8,13.4-20.9,870,0
Jurisdictional Estimates,Missouri,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,25.1,21.1-29.7,870,0
Jurisdictional Estimates,Mississippi,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,43.5,38.9-48.1,720,0
Jurisdictional Estimates,Mississippi,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,8.5,5.9-12.1,720,0
Jurisdictional Estimates,Mississippi,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,19.9,15.9-24.5,720,0
Jurisdictional Estimates,Mississippi,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,28.2,23.7-33.2,720,0
Jurisdictional Estimates,Montana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,54.5,51.2-57.8,1313,0
Jurisdictional Estimates,Montana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,4.2,2.9-6.0,1313,0
Jurisdictional Estimates,Montana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,13.1,10.9-15.8,1313,0
Jurisdictional Estimates,Montana,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,28.2,25.1-31.5,1313,0
Jurisdictional Estimates,North Carolina,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,54.6,49.8-59.3,958,0
Jurisdictional Estimates,North Carolina,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,5.4,3.5-8.3,958,0
Jurisdictional Estimates,North Carolina,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,15.6,12.3-19.7,958,0
Jurisdictional Estimates,North Carolina,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,24.4,20.2-29.1,958,0
Jurisdictional Estimates,North Dakota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,50.3,45.9-54.6,908,0
Jurisdictional Estimates,North Dakota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,6.3,4.2-9.3,908,0
Jurisdictional Estimates,North Dakota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,14.1,11.1-17.9,908,0
Jurisdictional Estimates,North Dakota,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,29.3,25.2-33.8,908,0
Jurisdictional Estimates,Nebraska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,60.2,55.5-64.7,745,0
Jurisdictional Estimates,Nebraska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,4,2.5-6.5,745,0
Jurisdictional Estimates,Nebraska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,13.4,10.3-17.3,745,0
Jurisdictional Estimates,Nebraska,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,22.3,18.5-26.8,745,0
Jurisdictional Estimates,New Hampshire,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,69.1,65.5-72.5,1290,0
Jurisdictional Estimates,New Hampshire,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,7.4,5.6-9.7,1290,0
Jurisdictional Estimates,New Hampshire,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,11.5,9.2-14.3,1290,0
Jurisdictional Estimates,New Hampshire,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,12,9.6-14.9,1290,0
Jurisdictional Estimates,New Jersey,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,68.8,65.2-72.2,1321,0
Jurisdictional Estimates,New Jersey,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,8.1,6.2-10.6,1321,0
Jurisdictional Estimates,New Jersey,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,12.8,10.4-15.6,1321,0
Jurisdictional Estimates,New Jersey,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,10.3,8.1-12.9,1321,0
Jurisdictional Estimates,New Mexico,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,70.8,67.4-74.1,1093,0
Jurisdictional Estimates,New Mexico,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,4,2.8-5.6,1093,0
Jurisdictional Estimates,New Mexico,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,11.7,9.5-14.4,1093,0
Jurisdictional Estimates,New Mexico,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,13.4,11.0-16.3,1093,0
Jurisdictional Estimates,Nevada,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,55.5,50.1-60.7,575,0
Jurisdictional Estimates,Nevada,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,10.6,7.3-15.0,575,0
Jurisdictional Estimates,Nevada,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,17.7,13.9-22.5,575,0
Jurisdictional Estimates,Nevada,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably or Definitely Will Not Get Vaccinated,Apr 22 – May 29,Monthly,16.2,12.5-20.8,575,0
Jurisdictional Estimates,New York,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Vaccinated,Apr 22 – May 29,Monthly,64.2,60.3-67.9,1618,0
Jurisdictional Estimates,New York,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Definitely Plan to Get Vaccinated,Apr 22 – May 29,Monthly,8.5,6.4-11.1,1618,0
Jurisdictional Estimates,New York,All Adults Age 18+,Overall,Vaccination and Intent 4 level grouping,Probably Will Get Vaccinated or Unsure,Apr 22 – May 29,Monthly,16.4,13.5-19.7,1618,0
