state,county,lat,lon,statefips,countyfips,maskdays,days,maskcoverage
CO, Crowley County, 38.317224, -103.781057, 8, 25, 261, 493, 0.53
CO, Custer County, 38.089727, -105.367354, 8, 27, 261, 493, 0.53
CO, Delta County, 38.871041, -107.871326, 8, 29, 261, 493, 0.53
CO, Denver County, 39.740959, -104.985798, 8, 31, 261, 493, 0.53
CO, Dolores County, 37.763455, -108.517172, 8, 33, 261, 493, 0.53
CO, Douglas County, 39.347936, -104.92316, 8, 35, 261, 493, 0.53
CO, Eagle County, 39.641401, -106.695346, 8, 37, 261, 493, 0.53
CO, Elbert County, 39.347038, -104.135887, 8, 39, 261, 493, 0.53
CO, El Paso County, 38.82466, -104.525611, 8, 41, 261, 493, 0.53
CO, Fremont County, 38.479432, -105.439745, 8, 43, 261, 493, 0.53
CO, Garfield County, 39.597038, -107.735662, 8, 45, 261, 493, 0.53
CO, Gilpin County, 39.84514, -105.489321, 8, 47, 261, 493, 0.53
CO, Grand County, 40.088904, -106.025682, 8, 49, 261, 493, 0.53
CO, Gunnison County, 38.727377, -107.157673, 8, 51, 261, 493, 0.53
CO, Hinsdale County, 37.818731, -107.300243, 8, 53, 261, 493, 0.53
CO, Huerfano County, 37.640902, -104.921408, 8, 55, 261, 493, 0.53
CO, Jackson County, 40.67807, -106.352465, 8, 57, 261, 493, 0.53
CO, Jefferson County, 39.635519, -105.272798, 8, 59, 261, 493, 0.53
CO, Kiowa County, 38.440491, -102.740298, 8, 61, 261, 493, 0.53
CO, Kit Carson County, 39.304577, -102.602824, 8, 63, 261, 493, 0.53
CO, Lake County, 39.207494, -106.340633, 8, 65, 261, 493, 0.53
CO, La Plata County, 37.268845, -107.834752, 8, 67, 261, 493, 0.53
CO, Larimer County, 40.628498, -105.461159, 8, 69, 261, 493, 0.53
CO, Las Animas County, 37.320029, -104.038856, 8, 71, 261, 493, 0.53
CO, Lincoln County, 38.993344, -103.460362, 8, 73, 261, 493, 0.53
CO, Logan County, 40.719524, -103.110082, 8, 75, 261, 493, 0.53
CO, Mesa County, 39.028988, -108.64989, 8, 77, 261, 493, 0.53
CO, Mineral County, 37.670585, -106.921112, 8, 79, 261, 493, 0.53
CO, Moffat County, 40.611076, -108.207267, 8, 81, 261, 493, 0.53
CO, Montezuma County, 37.315951, -108.596674, 8, 83, 261, 493, 0.53
CO, Montrose County, 38.321243, -108.33242, 8, 85, 261, 493, 0.53
CO, Morgan County, 40.262622, -103.809842, 8, 87, 261, 493, 0.53
CO, Otero County, 37.878412, -103.716414, 8, 89, 261, 493, 0.53
CO, Ouray County, 38.163472, -107.73885, 8, 91, 261, 493, 0.53
CO, Park County, 39.129965, -105.725511, 8, 93, 261, 493, 0.53
CO, Phillips County, 40.594478, -102.357649, 8, 95, 261, 493, 0.53
CO, Pitkin County, 39.180983, -106.854781, 8, 97, 261, 493, 0.53
CO, Prowers County, 37.956045, -102.393384, 8, 99, 261, 493, 0.53
CO, Pueblo County, 38.190169, -104.5033, 8, 101, 261, 493, 0.53
CO, Rio Blanco County, 39.958195, -108.217241, 8, 103, 261, 493, 0.53
CO, Rio Grande County, 37.574475, -106.383214, 8, 105, 261, 493, 0.53
CO, Routt County, 40.531086, -106.998945, 8, 107, 261, 493, 0.53
CO, Saguache County, 38.085688, -106.281487, 8, 109, 261, 493, 0.53
CO, San Juan County, 37.771241, -107.671277, 8, 111, 261, 493, 0.53
CO, San Miguel County, 38.023413, -108.405885, 8, 113, 261, 493, 0.53
CO, Sedgwick County, 40.875793, -102.351812, 8, 115, 261, 493, 0.53
CO, Summit County, 39.54118, -106.055916, 8, 117, 261, 493, 0.53
CO, Teller County, 38.944609, -105.185149, 8, 119, 261, 493, 0.53
CO, Washington County, 39.96428, -103.139427, 8, 121, 261, 493, 0.53
CO, Weld County, 40.585931, -104.540768, 8, 123, 261, 493, 0.53
CO, Yuma County, 40.005261, -102.424207, 8, 125, 261, 493, 0.53
DC, District of Columbia, 38.912097, -77.014683, 11, 1, 386, 493, 0.78
CT, Fairfield County, 41.242554, -73.30569, 9, 1, 483, 493, 0.98
FL, Alachua County, 29.681101, -82.357658, 12, 1, 0, 493, 0.0
CT, Hartford County, 41.816056, -72.732817, 9, 3, 483, 493, 0.98
CT, Litchfield County, 41.796947, -73.251327, 9, 5, 483, 493, 0.98
CT, Middlesex County, 41.480174, -72.538384, 9, 7, 483, 493, 0.98
CT, New Haven County, 41.33519, -72.893821, 9, 9, 483, 493, 0.98
CT, New London County, 41.45831, -72.112992, 9, 11, 483, 493, 0.98
CT, Tolland County, 41.87543, -72.353478, 9, 13, 483, 493, 0.98
CT, Windham County, 41.819775, -71.983141, 9, 15, 483, 493, 0.98
DE, Kent County, 39.104705, -75.529793, 10, 1, 411, 493, 0.83
DE, New Castle County, 39.556522, -75.6618, 10, 3, 411, 493, 0.83
DE, Sussex County, 38.699552, -75.309621, 10, 5, 411, 493, 0.83
FL, Baker County, 30.287729, -82.30902, 12, 3, 0, 493, 0.0
FL, Bay County, 30.239876, -85.626748, 12, 5, 0, 493, 0.0
FL, Bradford County, 29.954991, -82.156211, 12, 7, 0, 493, 0.0
FL, Brevard County, 28.306938, -80.701238, 12, 9, 0, 493, 0.0
FL, Broward County, 26.145651, -80.455874, 12, 11, 0, 493, 0.0
FL, Calhoun County, 30.396011, -85.201559, 12, 13, 0, 493, 0.0
FL, Charlotte County, 26.902546, -81.950342, 12, 15, 0, 493, 0.0
FL, Citrus County, 28.868795, -82.513635, 12, 17, 0, 493, 0.0
FL, Clay County, 30.008031, -81.862352, 12, 19, 0, 493, 0.0
FL, Collier County, 26.099334, -81.493785, 12, 21, 0, 493, 0.0
FL, Columbia County, 30.184348, -82.635583, 12, 23, 0, 493, 0.0
FL, DeSoto County, 27.187117, -81.809302, 12, 27, 0, 493, 0.0
FL, Dixie County, 29.577313, -83.182813, 12, 29, 0, 493, 0.0
FL, Duval County, 30.35743, -81.618348, 12, 31, 0, 493, 0.0
FL, Escambia County, 30.85988, -87.436304, 12, 33, 0, 493, 0.0
FL, Flagler County, 29.470682, -81.288392, 12, 35, 0, 493, 0.0
FL, Franklin County, 29.815611, -84.831566, 12, 37, 0, 493, 0.0
FL, Gadsden County, 30.55529, -84.619685, 12, 39, 0, 493, 0.0
FL, Gilchrist County, 29.721951, -82.800373, 12, 41, 0, 493, 0.0
FL, Glades County, 26.949386, -81.112748, 12, 43, 0, 493, 0.0
FL, Gulf County, 29.893438, -85.230017, 12, 45, 0, 493, 0.0
FL, Hamilton County, 30.489078, -82.888199, 12, 47, 0, 493, 0.0
FL, Hardee County, 27.49316, -81.809942, 12, 49, 0, 493, 0.0
FL, Hendry County, 26.574717, -81.08528, 12, 51, 0, 493, 0.0
FL, Hernando County, 28.564204, -82.497644, 12, 53, 0, 493, 0.0
FL, Highlands County, 27.339456, -81.346862, 12, 55, 0, 493, 0.0
FL, Hillsborough County, 27.90898, -82.315814, 12, 57, 0, 493, 0.0
FL, Holmes County, 30.892473, -85.814085, 12, 59, 0, 493, 0.0
FL, Indian River County, 27.690385, -80.574094, 12, 61, 0, 493, 0.0
FL, Jackson County, 30.804186, -85.208363, 12, 63, 0, 493, 0.0
FL, Jefferson County, 30.386978, -83.936229, 12, 65, 0, 493, 0.0
FL, Lafayette County, 29.959344, -83.185797, 12, 67, 0, 493, 0.0
FL, Lake County, 28.771354, -81.807497, 12, 69, 0, 493, 0.0
FL, Lee County, 26.550097, -81.830883, 12, 71, 0, 493, 0.0
FL, Leon County, 30.465675, -84.241598, 12, 73, 0, 493, 0.0
FL, Levy County, 29.303452, -82.780693, 12, 75, 0, 493, 0.0
FL, Liberty County, 30.198697, -84.903672, 12, 77, 0, 493, 0.0
FL, Madison County, 30.472772, -83.470043, 12, 79, 0, 493, 0.0
FL, Manatee County, 27.516462, -82.357665, 12, 81, 0, 493, 0.0
FL, Marion County, 29.192203, -82.04812, 12, 83, 0, 493, 0.0
